Survey_Date,End_survey_date,Site,Type,Type_description,Disease,Herm,Snails,Total
9/29/2011,9/30/2011,Wild Site C,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,0,2,1,26
9/29/2011,9/30/2011,Pickles,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,26,9,3,63
9/29/2011,9/30/2011,Nursery,Nursery,The offshore coral nursery site of origin for restored corals,2,0,0,460
11/4/2011,11/9/2011,Molasses shallow,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,7,0,2,105
11/4/2011,11/9/2011,Aquarius,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,,,,
11/4/2011,11/9/2011,Conch Shallows,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,4,2,2,48
11/4/2011,11/9/2011,French A,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,7,3,0,48
11/4/2011,11/9/2011,French B,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,3,1,1,20
11/4/2011,11/9/2011,Key Largo Dry Rocks,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,0,4,3,36
11/4/2011,11/9/2011,Wild Site A,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,0,0,0,48
11/4/2011,11/9/2011,Wild Site B,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,0,1,0,24
11/4/2011,11/9/2011,Wild Site C,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,3,2,0,34
11/4/2011,11/9/2011,Pickles,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,12,16,5,64
11/4/2011,11/9/2011,Nursery,Nursery,The offshore coral nursery site of origin for restored corals,,,,
,,,,,,,,
5/9/2012,5/16/2012,Conch Shallows,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,2,4,,28
5/9/2012,5/16/2012,French,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,0,4,,48
5/9/2012,5/16/2012,Key Largo Dry Rocks,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,1,8,,34
5/9/2012,5/16/2012,Little Chonch,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,4,15,,29
5/9/2012,5/16/2012,Molasses,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,2,10,,84
5/9/2012,5/16/2012,Nursery,Nursery,The offshore coral nursery site of origin for restored corals,11,0,,206
5/9/2012,5/16/2012,Pickles,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,0,20,,39
5/9/2012,5/16/2012,Tav-A,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,0,11,,32
5/9/2012,5/16/2012,Tav-B,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,1,10,,28
5/31/2012,6/4/2012,Conch Shallows,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,1,8,,30
5/31/2012,6/4/2012,French,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,2,10,,50
5/31/2012,6/4/2012,Key Largo Dry Rocks,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,2,13,,38
5/31/2012,6/4/2012,Little Chonch,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,32,18,,87
5/31/2012,6/4/2012,Molasses,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,2,20,,99
5/31/2012,6/4/2012,Pickles,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,3,36,,113
5/31/2012,6/4/2012,Tav-A,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,1,22,,50
5/31/2012,6/4/2012,Tav-B,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,8,12,,93
6/29/2012,7/2/2012,Conch Shallows,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,6,7,,37
6/29/2012,7/2/2012,French,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,5,14,,46
6/29/2012,7/2/2012,Key Largo Dry Rocks,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,4,4,,26
6/29/2012,7/2/2012,Little Chonch,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,20,3,,42
6/29/2012,7/2/2012,Molasses,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,6,22,,158
6/29/2012,7/2/2012,Pickles,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,5,17,,73
6/29/2012,7/2/2012,Tav-A,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,3,24,,67
6/29/2012,7/2/2012,Tav-B,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,0,11,,40
7/23/2012,7/24/2012,Conch Shallows,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,2,10,,38
7/23/2012,7/24/2012,French,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,7,10,,45
7/23/2012,7/24/2012,Key Largo Dry Rocks,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,5,19,,49
7/23/2012,7/24/2012,Little Chonch,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,14,13,,53
7/23/2012,7/24/2012,Molasses,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,0,15,,102
7/23/2012,7/24/2012,Pickles,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,3,29,,78
7/23/2012,7/24/2012,Tav-A,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,0,18,,56
7/23/2012,7/24/2012,Tav-B,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,3,10,,30
