Type,Typre_Description,Colony,Prop_dead_S1,Prop_dead_S2,Prop_dead_S3,Prop_dead_S4,Prop_dead_S5,Prop_dead_S6,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P081,0.55,0.60,0.50,0.40,0.50,0.90,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P082,0.05,0.01,0.40,0.20,0.40,0.50,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P083,0.33,0.50,0.50,0.55,0.35,0.80,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P084,0.50,0.20,0.25,0.20,0.15,0.20,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P085,0.05,0.01,0.30,0.90,0.95,0.99,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P086,0.30,0.45,0.50,0.70,0.70,0.95,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P087,0.10,0.15,0.40,0.30,0.55,0.70,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P088,0.45,0.05,0.20,0.35,0.00,0.60,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P089,0.50,0.30,0.01,0.01,0.25,0.30,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P090,0.15,0.10,0.05,0.05,0.00,0.35,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P091,0.05,0.00,0.05,0.05,0.00,0.15,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P092,0.05,0.00,0.01,0.10,0.10,0.65,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P093,0.20,0.10,0.50,0.35,0.20,0.45,,,,,,,,,,,,,,
